,Pos,Neg,Mid
0,경신,매도,책임
1,상승세,조정,랠리
2,오른,감소,유지
3,강화,전쟁,중립
4,상승,개발,산타랠리
5,계약,하락,취임
6,최고,주의,등락
7,신뢰,손실,대기
8,매수,우려,희비
9,증가,부실,보고
10,투자자,취약,채용
11,간다,달성,발표
12,돌파,급락,보고서
13,투자,사태,결과
14,우위,구조조정,임명
15,기염,아웃,취임식
16,신규,안정,보통주
17,특별,괴리,보통
18,선정,위험,보류
19,고지,공매도,책임자
20,개장,위축,경계
21,축포,안철수,꼭대기
22,급증,안정화,딜레마
23,급등,최저,관망
24,혁신,간문제,무책임
25,기회,불법,특사
26,수익률,사후,대기업
27,극찬,상장폐지,사료
28,에너지,위기,공방전
29,배당,처분,무결
30,반전,오류,팽팽
31,상향,물폭탄,결과물
32,균형성장,리스크,유지관리
33,가능성,중단,밸런스
34,출시,정지,보통신
35,돌진,파산신청,승패
36,출발,닷컴버블,유감
37,이벤트,축소,진득
38,호조,매각,대기권
39,확대,금지,연대책임
40,진입,가처분,득실
41,완성,행정처분,정보통
42,나눔,털썩,물음표
43,열풍,흑우,엎치락뒤치락
44,체결,삭제,계륵
45,주목,물의,중립성
46,폭등,약세,카더라
47,도약,하향,그닥
48,취득,적자,법정공방
49,긍정,바닥,보고타
50,도전,악재,발표회
51,쟁취,불가피,보통사람
52,웃음,부진,장보고
53,배정,불안,엄중
54,최대,불확실,유지니아
55,성장,공격,책임감
56,노력,지옥,보통주식
57,개최,장애,박빙
58,확장,영업정지,유지창
59,급상승,아웃소싱,신경계
60,합작,폭풍,유지영
61,수혜,상폐,정보통신부
62,기대,민주주의,중립지대
63,플러스,무덤,중립국
64,강세,잘못,심심이
65,지원,거지,보고르
66,극복,경보,아리송
67,추진,고통,일대기
68,출자,악화,유지수
69,부각,도시바,대기오염
70,골든,사후관리,제작발표회
71,수주,나와라,스탠바이
72,개설,설거지,유지시
73,상장폐지,사망,배합사료
74,시작,악덕,글쎄요
75,출범,아씨,중추신경계
76,안착,레버리지,보고펀드
77,우량,폭탄,교전
78,상장,긴급,평화유지군
79,유상증자,제재,일진일퇴
80,인수,위협,유지비
81,참여,부정,싸대기
82,입성,헬렌,대기차
83,이익,헬로비전,훈풍될까
84,흥행,폰지사기,만류
85,성실,구속,
86,상위,철퇴,
87,질주,욕심,
88,해제,공포,
89,선도,부담,
90,금융투자,규제,
91,발행,차단기,
92,훨훨,흑역사,
93,고도화,손해,
94,청약,분쟁,
95,보호,긴장,
96,휘파람,사임,
97,가치주,하차,
98,신설,해지,
99,신기록,비상,
100,협상,디스커버리,
101,소수주주,버블,
102,베스트,제한,
103,애니플러스,사고,
104,인증,부족,
105,진출,사기,
106,공정,헬릭스,
107,승인,제동,
108,회복,안갯속,
109,가치투자,이탈,
110,이득,훼손,
111,시너지,반대,
112,수익,굴뚝,
113,선두,메리츠화재,
114,선진,가짜,
115,개선,처벌,
116,도입,명문제약,
117,지지율,경고,
118,대박,외면,
119,개시,최악,
120,허가,패닉,
121,박차,소외,
122,기부,재개발,
123,만전,날벼락,
124,성장동력,차의과학대,
125,확보,재판,
126,상회,떡락,
127,날개,낙폭,
128,반등,못버는줄암,
129,흑자,쓰레기,
130,친환경,호구,
131,해소,거품,
132,환경,탈락,
133,우호,포기,
134,추천,팔자,
135,장밋빛,실패,
136,적극,불안감,
137,쾌감,봉쇄,
138,사랑,논란,
139,회복기,폭락,
140,정상화,낙오,
141,적격성,유출,
142,호재,삐걱,
143,협력,불발,
144,공개방송,주춤,
145,매력,한계,
146,포스코에너지,급감,
147,구원투수,위험성,
148,방긋,양극화,
149,조명,고민,
150,재개,폐지,
151,최적,한숨,
152,복구,후퇴,
153,축하,실업,
154,탈출,사퇴,
155,대세,헬리,
156,야호,종말,
157,러브콜,안함,
158,승진,고립,
159,적정,주거지,
160,합격,손상,
161,최고점,어려움,
162,진행,셧다운,
163,극적,비난,
164,한빛소프트,폐기,
165,탈환,반락,
166,우수,문제,
167,포상,폐쇄,
168,점프,하방경직성,
169,완판,향방,
170,착수,괴리율,
171,획득,못난이,
172,정상,손절,
173,특화된,패배,
174,똘똘,조정은,
175,통과,작살,
176,합병,항우울제,
177,배당금,개발부담금,
178,환경기술,소송,
179,건강,역차별,
180,정밀,횡령,
181,순이익,혐의,
182,합의,반토막,
183,비공개,비명,
184,안전,금융위기,
185,협업,극심,
186,성공,차헬,
187,창설,허위,
188,등록,피해,
189,인정,원망,
190,리뉴얼,골탕,
191,선출,괴리된,
192,불공정,게임개발,
193,공개,위반,
194,잭팟,과징금,
195,개척,몸살,
196,희망,비판,
197,인베스트먼트,인플레,
198,인기,배임,
199,파죽지세,불편,
200,협약,뒤통수,
201,성큼,부결,
202,돌입,사직,
203,땡큐,충격,
204,오픈,폭력,
205,오르비,고함,
206,오케이,스팸문자,
207,무료,비관,
208,감사,실망,
209,부상,차단,
210,껑충,절하,
211,압승하,왕따,
212,개막,갈등,
213,유니콘,한파,
214,꿈틀,시위,
215,재개발,체포,
216,주식매수청구권,혼돈,
217,특별법,벌점,
218,도움,불합리,
219,가능,반발,
220,존버,퇴색,
221,호평,혼란,
222,배당률,울상,
223,맑음,미달,
224,증익,잡음,
225,저가,꽁꽁,
226,유효,압박,
227,확대경,증발,
228,부활,마약,
229,감동,의혹,
230,존경,집단소송,
231,조달,국제사법재판소,
232,건전성,헬리오스,
233,순항,자극,
234,신재생에너지,범죄,
235,예방,음모,
236,후끈,캄캄,
237,전자인증,불가능,
238,수주량,황당,
239,만회,걱정,
240,허가증,분식회계,
241,평온,파기,
242,찬성,허탈,
243,선행,고소공포증,
244,현금화,재앙,
245,압승,폐기물,
246,아파티닙,논쟁,
247,인증서,박살,
248,참여자,약진,
249,진행중,마이너스,
250,계약서,오류로,
251,주식매수선택권,과태료,
252,무상증자,우울,
253,탄생,충돌,
254,기회비용,부당,
255,기적,공장화재,
256,선방,약화,
257,자랑,폭발사고,
258,자신감,혼선,
259,환호,개발자,
260,호황,붕괴,
261,완화,위태,
262,활짝,대피,
263,탄탄,불만,
264,만족,초상집,
265,공익,사의,
266,해결,라운지,
267,공정위,주의보,
268,활약,유혹,
269,프리미엄,바보,
270,진화,조정만,
271,황금,곤두박질,
272,파티,헬문,
273,활성화,무시,
274,유플러스,화재,
275,선진국,찌라시,
276,승리,개떡락,
277,수혜자,의심,
278,보호국,쇼크,
279,최고재,낭패,
280,낙관,부작용,
281,활발,파업,
282,다양,손상인,
283,믿음,헬드,
284,지지,사과,
285,양전기,좌절,
286,화성공장,멘붕,
287,최선,조정구,
288,완판된,헛질,
289,취득세,끝물,
290,추월,소멸,
291,지지자,노이로제,
292,투자신탁,패소,
293,자유,강등,
294,물가상승률,취소,
295,개점,빤쓰런,
296,본계약,죽음,
297,이매진,재해,
298,보상금,사회주의,
299,양호,와르르,
300,출원,혈안,
301,청산,고생,
302,불가능,쫄지마,
303,증자,개스피군,
304,보탠다,똥개,
305,발굴,노이즈,
306,직접투자,염병,
307,추카,조바심,
308,응원,좌지우지,
309,완벽,후진,
310,훈풍,분노,
311,화색,인플레이션,
312,기레기,싸움,
313,행복,하방,
314,빛낼,극성,
315,으뜸,후유증,
316,출시일,소각,
317,최선호,안정효,
318,지속가능성,긴축,
319,신규가입,동전주,
320,결성,환경보호,
321,단타,당혹,
322,특화,기각,
323,최대로,피신,
324,낙수,문제점,
325,열광,사기피해,
326,진심,유체이탈,
327,재미,외환위기,
328,계약금,부당이득,
329,인수합병,패닉바잉,
330,존버하,일촉즉발,
331,겹호재,흥국화재,
332,만끽,실업자,
333,강점,징역,
334,연구원,문화재단,
335,자부심,회계부정,
336,예방접종,우울증,
337,증진,불과,
338,디오르,시련,
339,불기둥,적신호,
340,자알,눈물,
341,투자가,삐끗,
342,탈출기,조작,
343,방어전,유죄,
344,골든디스크,누출사고,
345,런칭,치명상,
346,방어,징계,
347,오르락내리락,후회,
348,양적완화,뭣들하,
349,선봬,눈살,
350,보상,장난감,
351,존중,백년전쟁,
352,환경부,분위기,
353,이상무,완패,
354,경제성장률,핏빗,
355,홈플러스,삭감,
356,환경보호,침체,
357,역전,손해배상,
358,환골탈태,시기상조,
359,사용승인,실수,
360,쾌거,징역형,
361,부당이득,아슬아슬,
362,수익금,실형,
363,완만,법정구속,
364,당첨,차질,
365,행운,집행정지,
366,불어,심각,
367,체질개선,우주개발,
368,유리,침해,
369,참좋은여행,자본주의,
370,조달청,이부진,
371,화상회의,눈덩이,
372,특급,추락,
373,이상승,물량뺏기,
374,승소,감옥,
375,공개매수,정반대,
376,해외진출,파괴,
377,차익거래,쌍코피,
378,해결사,어찌,
379,정보공개,고발,
380,소비자보호,아웃백,
381,정기적금,문화재,
382,기회균등,루머,
383,면제,다툼,
384,똑똑,낚이셨나,
385,꿀팁,연구개발,
386,우수수,뚝뚝,
387,쿠추카,이탈리아,
388,승승장구,도산,
389,재생에너지,짜증,
390,웃돈,헬스,
391,과기부,불가,
392,해피,비보,
393,성황리,철수,
394,비적정,영장,
395,가쟈,깜깜,
396,태양전지,폭풍성,
397,베단타,사별,
398,투자율,스트레스,
399,다양성,질타,
400,신종,어쩌다가,
401,재계약,개꼴,
402,베스트셀러,라헬,
403,영광,해고,
404,우승,보이스피싱,
405,김지원,불신,
406,특별상,법적대응,
407,면죄부,불명예,
408,합격자,답답,
409,대성공,개돼지,
410,수주로,혼동,
411,운송계약,안정호,
412,화답,골칫덩,
413,빛샘,손상처리,
414,특화망,아웃핏,
415,재능기부,우뚝,
416,출항,피해자,
417,이익공유제,재판매,
418,최우수,자만,
419,귀여미,덜덜,
420,일석이조,오해,
421,채택,세무조사,
422,우뚝,구속력,
423,청렴,편법,
424,조양호,배신자,
425,적정가격,사망자,
426,호화,폭로,
427,최우수상,지분매각,
428,상장회사,습격,
429,출발점,볼모,
430,도급계약,손실보상,
431,만족도,어닝쇼크,
432,럭셔리,하위,
433,공감,파산법,
434,손실보상,난항,
435,투자비법,불량,
436,해양에너지,주사기,
437,종합병원,무너뜨렸다,
438,정보보호,쓴맛,
439,상장법인,개미지옥,
440,하하,악의,
441,최고다,실업률,
442,퍼펙트,사용제한,
443,승리자,사망률,
444,꽃길,아웃도어,
445,빛바랜,최저임금,
446,추진제,주가조작,
447,정복,혼쭐,
448,적격,편안함,
449,진행형,쪽박,
450,결실,학대,
451,비정상,파산,
452,알뜰,폐쇄후,
453,비정상회담,대피소,
454,완공,불기소,
455,개꿀,속수무책,
456,퍼수익,굴욕,
457,천국,허상,
458,희망고문,구속영장,
459,보호수,조롱,
460,오픈마켓,발발,
461,면죄,추매,
462,정상영,지랄,
463,안전성,쯧쯧,
464,합병계약,어쩌,
465,중간배당,발악,
466,판매승인,불협화음,
467,대중화,재판소,
468,척척,시바,
469,최적화,징징,
470,만장일치,폐점,
471,최고경영자,좃됐네,
472,홈파티,악마,
473,우월,악순환,
474,해피엔딩,비활,
475,어메이징,미흡,
476,고지혈증,불완전,
477,호감,위험관리,
478,회계감사,전투,
479,판도,좃내,
480,풍력에너지,하이난항공,
481,계약설,불가사의,
482,정밀도,악질,
483,완승,시큰둥,
484,신주인수권,텅텅,
485,가계약,낙상,
486,웃음꽃,고난,
487,투자수익률,공소장,
488,신선,수사의뢰,
489,한빛,먹구름,
490,드가자,수렁,
491,오픈도어,분열,
492,합의금,감압,
493,희소식,절단,
494,보호자,폐쇄할,
495,전속계약,항의,
496,원조,동났다,
497,건강검진,긴장감,
498,우수상,결함,
499,정확도,무제한,
500,격상,헬라,
501,감사원,압수,
502,모락모락,대량학살,
503,진리,일장춘몽,
504,윤활,보릿고개,
505,권장,몰락,
506,햇빛,절망,
507,질병예방,폐쇄형,
508,행정안전부,테이크아웃,
509,김유리,관매도,
510,돌파구,부정선거,
511,황금알,학살,
512,강추,씹빠,
513,육개장,엿같,
514,정지원,안정국,
515,청력,구속기소,
516,지지도,소나기,
517,소비자보호법,압수수색,
518,알뜰살뜰,해임,
519,유리천장,민사소송,
520,정밀과학,함정,
521,지원이,결렬,
522,안양호,상폐사,
523,번지점프,당황,
524,양전,악법,
525,외국인투자,폭풍전야,
526,추추,신중,
527,구지원,결별,
528,추진단,피란,
529,등록증,인플레이션율,
530,인천국제공항공사,헬스사,
531,고지서,폐쇄시,
532,짜릿,진땀,
533,부적정,부숴,
534,개인정보,악몽,
535,옵션계약,무혐의,
536,보람,짝퉁,
537,반등쌔,밑바닥,
538,윤활유,서철수,
539,환경재단,헬멧,
540,칭찬,낭비,
541,완판소식,통곡,
542,훈풍타,개뿔,
543,공정거래법,초비상,
544,성장기,수상한,
545,모의투자,거품경제,
546,탁지지,워크아웃,
547,불건전,자금난,
548,재능,수난,
549,헛된희망,리베이트,
550,최고급,충격파,
551,계약해지,자극제,
552,우간다,감손,
553,안전지대,손절매,
554,개점휴업,자외선차단제,
555,참여연대,아웃룩,
556,존버해,거절,
557,파이팅,거짓,
558,윈윈,탈세,
559,혁신도시,과실,
560,황금기,조루증,
561,추모식,이중고,
562,에너지공학,전염병,
563,오르막,명암,
564,소망,죄악,
565,재출발,불매,
566,판유리,팔자주름,
567,희소가치,불매운동,
568,합병증,중과실,
569,모범생,외로워,
570,빅점프,부당행위,
571,평가자,먹튀,
572,알뜰폰,정신병,
573,엑셀시오르,뚝심,
574,주식공개,히스패닉,
575,황금낙하산,재정난,
576,포용,학폭,
577,물탄,좃됐,
578,상근감사,짱깨,
579,추모,깜빵가,
580,이혁진,자살골,
581,포지티브,폭발위험,
582,보증계약,존헬,
583,스페셜,감익,
584,회계감사인,정지원,
585,정성,모함,
586,매진,불법행위,
587,자유투,빌런,
588,횡보시작이구랴,푸대접,
589,적당,씹락,
590,유효수요,손절해,
591,자금지원,좆됫다,
592,미사일방어국,혹평,
593,건전,주가떡락할때,
594,참가자,망신,
595,생기,좃구,
596,강세정,우욱,
597,무진행,미선물씹떡락,
598,부적격,씨바,
599,탄생화,나락갔,
600,환경청,쭤에에엑,
601,달콤,개떡락중,
602,맹활약,안되겐,
603,물꼬,빠지겄,
604,콧노래,꼴찌,
605,꿀맛,무너,
606,동북공정,물량부담,
607,불이익,루이비통,
608,쓴웃음,공범,
609,설강화,감염병,
610,김진화,난감,
611,침착,킷헬,
612,고지전,진정서,
613,원격지원,엉망,
614,출자전환,경제개발,
615,서울특별시,쫄았다,
616,유리창,벌벌,
617,최대성,헬비,
618,강화유리,박봉,
619,에너지부,퉤퉤,
620,등록부,엿됐,
621,윈회복힌다,떡락하,
622,잔재미,탓임,
623,완성형,장애인,
624,인공호흡,인지장애,
625,종전,헬스장,
626,재탄생,전투기,
627,온라인수업,버버리,
628,비책,배신,
629,내부감사,좃끝은거,
630,분쟁해결,션찮다,
631,시원,불건전,
632,해피빈,사헬,
633,비합리적,몰수,
634,후광,금지법,
635,안전판,주저우,
636,정상용,균열,
637,환경공학,사기꾼,
638,홀렸다,성범죄,
639,아이큐점프,블랙아웃,
640,정상회담,계약해지,
641,간호조무사,대지진,
642,인생역전,난제,
643,변천사,떡락중,
644,저렴,권고사직,
645,도움닫기,패가망신,
646,혁진,과로사,
647,첫사랑,헌법재판관,
648,등록금,착취,
649,상승기류,털껄,
650,활력소,팔껄,
651,골든타임,공포영화,
652,오픈소스,쳐맞다보닌까,
653,공개시장,낚였다,
654,무인기,손절후,
